HPP:
==========================
INDEX(Row) | VALUE	 |
==========================
22(23)	   | 1		 | *
23(24)	   | 1		 | *
24(25)	   | 1		 | *
25(26)	   | 1		 | *
26(27)	   | 1		 | *
27(28)	   | 1		 | *
28(29)	   | 1		 | *
29(30)	   | 1		 | *
30(31)	   | 1		 | *
31(32)	   | 1		 | *
32(33)	   | 1		 | *
33(34)	   | 1		 | *
34(35)	   | 1		 | *
35(36)	   | 1		 | *
36(37)	   | 1		 | *
37(38)	   | 1		 | *
38(39)	   | 1		 | *
39(40)	   | 1		 | *
40(41)	   | 1		 | *
41(42)	   | 1		 | *
42(43)	   | 1		 | *
43(44)	   | 1		 | *
44(45)	   | 0		 | 
45(46)	   | 0		 | 

VPPMorph:
==========================
INDEX(Row) | VALUE	 |
==========================
0(3)	   | 1		 | *
1(4)	   | 1		 | *
2(5)	   | 1		 | *
3(6)	   | 1		 | *
4(7)	   | 1		 | *
5(8)	   | 0		 | 
6(9)	   | 0		 | 
7(10)	   | 0		 | 
8(11)	   | 1		 | *
9(12)	   | 1		 | *
10(13)	   | 1		 | *
11(14)	   | 1		 | *
12(15)	   | 1		 | *
13(16)	   | 1		 | *
14(17)	   | 1		 | *
15(18)	   | 1		 | *
16(19)	   | 1		 | *
17(20)	   | 1		 | *
18(21)	   | 1		 | *
19(22)	   | 1		 | *
20(23)	   | 1		 | *
21(24)	   | 1		 | *
22(25)	   | 0		 | 
23(26)	   | 0		 | 
24(27)	   | 0		 | 
25(28)	   | 1		 | *
26(29)	   | 1		 | *
27(30)	   | 1		 | *
28(31)	   | 1		 | *
29(32)	   | 1		 | *
30(33)	   | 1		 | *
31(34)	   | 0		 | 
32(35)	   | 0		 | 
33(36)	   | 0		 | 
34(37)	   | 1		 | *
35(38)	   | 1		 | *
36(39)	   | 1		 | *
37(40)	   | 1		 | *
38(41)	   | 1		 | *
39(42)	   | 1		 | *
40(43)	   | 1		 | *
41(44)	   | 1		 | *
42(45)	   | 1		 | *
43(46)	   | 1		 | *
44(47)	   | 1		 | *
45(48)	   | 1		 | *
46(49)	   | 0		 | 

