HPP:
==========================
INDEX(Row) | VALUE	 |
==========================
0(1)	   | 0		 | 
1(2)	   | 1		 | *
2(3)	   | 1		 | *
3(4)	   | 19		 | *******************
4(5)	   | 24		 | ************************
5(6)	   | 25		 | *************************
6(7)	   | 1		 | *
7(8)	   | 1		 | *
8(9)	   | 1		 | *
9(10)	   | 24		 | ************************
10(11)	   | 27		 | ***************************
11(12)	   | 26		 | **************************
12(13)	   | 4		 | ****
13(14)	   | 2		 | **
14(15)	   | 2		 | **
15(16)	   | 1		 | *
16(17)	   | 1		 | *
17(18)	   | 8		 | ********
18(19)	   | 23		 | ***********************
19(20)	   | 24		 | ************************
20(21)	   | 27		 | ***************************
21(22)	   | 1		 | *
22(23)	   | 1		 | *
23(24)	   | 2		 | **
24(25)	   | 24		 | ************************
25(26)	   | 27		 | ***************************
26(27)	   | 26		 | **************************
27(28)	   | 8		 | ********
28(29)	   | 2		 | **
29(30)	   | 1		 | *
30(31)	   | 2		 | **
31(32)	   | 1		 | *
32(33)	   | 10		 | **********
33(34)	   | 22		 | **********************
34(35)	   | 26		 | **************************
35(36)	   | 26		 | **************************
36(37)	   | 0		 | 
37(38)	   | 1		 | *
38(39)	   | 0		 | 
39(40)	   | 25		 | *************************
40(41)	   | 27		 | ***************************
41(42)	   | 26		 | **************************
42(43)	   | 18		 | ******************
43(44)	   | 1		 | *
44(45)	   | 0		 | 

VPP:
==========================
INDEX(Row) | VALUE	 |
==========================
0(1)	   | 0		 | 
1(2)	   | 7		 | *******
2(3)	   | 14		 | **************
3(4)	   | 11		 | ***********
4(5)	   | 25		 | *************************
5(6)	   | 10		 | **********
6(7)	   | 7		 | *******
7(8)	   | 3		 | ***
8(9)	   | 9		 | *********
9(10)	   | 10		 | **********
10(11)	   | 10		 | **********
11(12)	   | 13		 | *************
12(13)	   | 14		 | **************
13(14)	   | 8		 | ********
14(15)	   | 10		 | **********
15(16)	   | 11		 | ***********
16(17)	   | 6		 | ******
17(18)	   | 9		 | *********
18(19)	   | 15		 | ***************
19(20)	   | 16		 | ****************
20(21)	   | 14		 | **************
21(22)	   | 9		 | *********
22(23)	   | 6		 | ******
23(24)	   | 5		 | *****
24(25)	   | 6		 | ******
25(26)	   | 9		 | *********
26(27)	   | 11		 | ***********
27(28)	   | 16		 | ****************
28(29)	   | 18		 | ******************
29(30)	   | 20		 | ********************
30(31)	   | 14		 | **************
31(32)	   | 8		 | ********
32(33)	   | 13		 | *************
33(34)	   | 8		 | ********
34(35)	   | 12		 | ************
35(36)	   | 10		 | **********
36(37)	   | 13		 | *************
37(38)	   | 16		 | ****************
38(39)	   | 16		 | ****************
39(40)	   | 10		 | **********
40(41)	   | 10		 | **********
41(42)	   | 4		 | ****
42(43)	   | 4		 | ****
43(44)	   | 8		 | ********
44(45)	   | 18		 | ******************
45(46)	   | 18		 | ******************
46(47)	   | 12		 | ************
47(48)	   | 3		 | ***
48(49)	   | 0		 | 

HPP Binary:
==========================
INDEX(Row) | VALUE	 |
==========================
0(1)	   | 0		 | 
1(2)	   | 0		 | 
2(3)	   | 0		 | 
3(4)	   | 1		 | *
4(5)	   | 1		 | *
5(6)	   | 1		 | *
6(7)	   | 0		 | 
7(8)	   | 0		 | 
8(9)	   | 0		 | 
9(10)	   | 1		 | *
10(11)	   | 1		 | *
11(12)	   | 1		 | *
12(13)	   | 1		 | *
13(14)	   | 0		 | 
14(15)	   | 0		 | 
15(16)	   | 0		 | 
16(17)	   | 0		 | 
17(18)	   | 1		 | *
18(19)	   | 1		 | *
19(20)	   | 1		 | *
20(21)	   | 1		 | *
21(22)	   | 0		 | 
22(23)	   | 0		 | 
23(24)	   | 0		 | 
24(25)	   | 1		 | *
25(26)	   | 1		 | *
26(27)	   | 1		 | *
27(28)	   | 1		 | *
28(29)	   | 0		 | 
29(30)	   | 0		 | 
30(31)	   | 0		 | 
31(32)	   | 0		 | 
32(33)	   | 1		 | *
33(34)	   | 1		 | *
34(35)	   | 1		 | *
35(36)	   | 1		 | *
36(37)	   | 0		 | 
37(38)	   | 0		 | 
38(39)	   | 0		 | 
39(40)	   | 1		 | *
40(41)	   | 1		 | *
41(42)	   | 1		 | *
42(43)	   | 1		 | *
43(44)	   | 0		 | 
44(45)	   | 0		 | 

VPP Binary:
==========================
INDEX(Row) | VALUE	 |
==========================
0(1)	   | 0		 | 
1(2)	   | 1		 | *
2(3)	   | 1		 | *
3(4)	   | 1		 | *
4(5)	   | 1		 | *
5(6)	   | 1		 | *
6(7)	   | 1		 | *
7(8)	   | 1		 | *
8(9)	   | 1		 | *
9(10)	   | 1		 | *
10(11)	   | 1		 | *
11(12)	   | 1		 | *
12(13)	   | 1		 | *
13(14)	   | 1		 | *
14(15)	   | 1		 | *
15(16)	   | 1		 | *
16(17)	   | 1		 | *
17(18)	   | 1		 | *
18(19)	   | 1		 | *
19(20)	   | 1		 | *
20(21)	   | 1		 | *
21(22)	   | 1		 | *
22(23)	   | 1		 | *
23(24)	   | 1		 | *
24(25)	   | 1		 | *
25(26)	   | 1		 | *
26(27)	   | 1		 | *
27(28)	   | 1		 | *
28(29)	   | 1		 | *
29(30)	   | 1		 | *
30(31)	   | 1		 | *
31(32)	   | 1		 | *
32(33)	   | 1		 | *
33(34)	   | 1		 | *
34(35)	   | 1		 | *
35(36)	   | 1		 | *
36(37)	   | 1		 | *
37(38)	   | 1		 | *
38(39)	   | 1		 | *
39(40)	   | 1		 | *
40(41)	   | 1		 | *
41(42)	   | 1		 | *
42(43)	   | 1		 | *
43(44)	   | 1		 | *
44(45)	   | 1		 | *
45(46)	   | 1		 | *
46(47)	   | 1		 | *
47(48)	   | 1		 | *
48(49)	   | 0		 | 

HPPMorph:
==========================
INDEX(Row) | VALUE	 |
==========================
0(1)	   | 0		 | 
1(2)	   | 0		 | 
2(3)	   | 0		 | 
3(4)	   | 1		 | *
4(5)	   | 1		 | *
5(6)	   | 1		 | *
6(7)	   | 0		 | 
7(8)	   | 0		 | 
8(9)	   | 0		 | 
9(10)	   | 1		 | *
10(11)	   | 1		 | *
11(12)	   | 1		 | *
12(13)	   | 1		 | *
13(14)	   | 0		 | 
14(15)	   | 0		 | 
15(16)	   | 0		 | 
16(17)	   | 0		 | 
17(18)	   | 1		 | *
18(19)	   | 1		 | *
19(20)	   | 1		 | *
20(21)	   | 1		 | *
21(22)	   | 0		 | 
22(23)	   | 0		 | 
23(24)	   | 0		 | 
24(25)	   | 1		 | *
25(26)	   | 1		 | *
26(27)	   | 1		 | *
27(28)	   | 1		 | *
28(29)	   | 0		 | 
29(30)	   | 0		 | 
30(31)	   | 0		 | 
31(32)	   | 0		 | 
32(33)	   | 1		 | *
33(34)	   | 1		 | *
34(35)	   | 1		 | *
35(36)	   | 1		 | *
36(37)	   | 0		 | 
37(38)	   | 0		 | 
38(39)	   | 0		 | 
39(40)	   | 1		 | *
40(41)	   | 1		 | *
41(42)	   | 1		 | *
42(43)	   | 1		 | *
43(44)	   | 0		 | 
44(45)	   | 0		 | 

VPPMorph:
==========================
INDEX(Row) | VALUE	 |
==========================
0(1)	   | 1		 | *
1(2)	   | 1		 | *
2(3)	   | 1		 | *
3(4)	   | 1		 | *
4(5)	   | 1		 | *
5(6)	   | 1		 | *
6(7)	   | 1		 | *
7(8)	   | 1		 | *
8(9)	   | 1		 | *
9(10)	   | 1		 | *
10(11)	   | 1		 | *
11(12)	   | 1		 | *
12(13)	   | 1		 | *
13(14)	   | 1		 | *
14(15)	   | 1		 | *
15(16)	   | 1		 | *
16(17)	   | 1		 | *
17(18)	   | 1		 | *
18(19)	   | 1		 | *
19(20)	   | 1		 | *
20(21)	   | 1		 | *
21(22)	   | 1		 | *
22(23)	   | 1		 | *
23(24)	   | 1		 | *
24(25)	   | 1		 | *
25(26)	   | 1		 | *
26(27)	   | 1		 | *
27(28)	   | 1		 | *
28(29)	   | 1		 | *
29(30)	   | 1		 | *
30(31)	   | 1		 | *
31(32)	   | 1		 | *
32(33)	   | 1		 | *
33(34)	   | 1		 | *
34(35)	   | 1		 | *
35(36)	   | 1		 | *
36(37)	   | 1		 | *
37(38)	   | 1		 | *
38(39)	   | 1		 | *
39(40)	   | 1		 | *
40(41)	   | 1		 | *
41(42)	   | 1		 | *
42(43)	   | 1		 | *
43(44)	   | 1		 | *
44(45)	   | 1		 | *
45(46)	   | 1		 | *
46(47)	   | 1		 | *
47(48)	   | 1		 | *
48(49)	   | 1		 | *

Reading Direction: HORIZONTAL
-407448144
0 0 0 0
-407448144
0 0 0 0
-407448144
0 0 0 0
-407448144
0 0 0 0
-407448144
0 0 0 0
-407448144
0 0 0 0
-407448144
0 0 0 0
